Player,Position,Height (in),Weight (lbs),Date of Birth,League,GP,G,A,TP,Season,,First,Last,Name+1,Name+2,Input Array
Isaac Howard,F,70,180,03/30/2004,NCAA,36,8,28,36,2023,,Isaac,Howard,,,"[""Isaac"",""Howard"",""F"",""NCAA"",None,70,180,20.46,36,8,36,1,2024]"
Owen McLaughlin,F,72,160,03/25/2003,NCAA,39,13,26,39,2023,,Owen,McLaughlin,,,"[""Owen"",""McLaughlin"",""F"",""NCAA"",None,72,160,21.47,39,13,39,1,2024]"
Brad Lambert,F,73,173,12/19/2003,AHL,64,21,34,55,2023,,Brad,Lambert,,,"[""Brad"",""Lambert"",""F"",""AHL"",None,73,173,20.74,64,21,55,0.86,2024]"
Olen Zellweger,D,70,187,09/10/2003,AHL,44,12,25,37,2023,,Olen,Zellweger,,,"[""Olen"",""Zellweger"",""D"",""AHL"",None,70,187,21.01,44,12,37,0.84,2024]"
Zayne Parekh,D,72,179,02/15/2006,OHL,66,33,63,96,2023,,Zayne,Parekh,,,"[""Zayne"",""Parekh"",""D"",""OHL"",None,72,179,18.58,66,33,96,1.45,2024]"
Terik Parascak,F,72,173,05/28/2006,WHL,68,43,62,105,2023,,Terik,Parascak,,,"[""Terik"",""Parascak"",""F"",""WHL"",None,72,173,18.3,68,43,105,1.54,2024]"
Nikita Grebenkin,F,74,210,05/02/2003,KHL,67,19,22,41,2023,,Nikita,Grebenkin,,,"[""Nikita"",""Grebenkin"",""F"",""KHL"",None,74,210,21.37,67,19,41,0.61,2024]"
Gavin Hayes,F,73,177,05/14/2004,OHL,28,18,22,40,2023,,Gavin,Hayes,,,"[""Gavin"",""Hayes"",""F"",""OHL"",None,73,177,20.34,28,18,40,1.43,2024]"
Stephen Halliday,F,76,212,07/02/2002,NCAA,38,10,26,36,2023,,Stephen,Halliday,,,"[""Stephen"",""Halliday"",""F"",""NCAA"",None,76,212,22.2,38,10,36,0.95,2024]"
Alex Bump,F,72,195,11/20/2003,NCAA,38,14,22,36,2023,,Alex,Bump,,,"[""Alex"",""Bump"",""F"",""NCAA"",None,72,195,20.82,38,14,36,0.95,2024]"
Cruz Lucius,F,72,178,04/05/2004,NCAA,36,13,21,34,2023,,Cruz,Lucius,,,"[""Cruz"",""Lucius"",""F"",""NCAA"",None,72,178,20.44,36,13,34,0.94,2024]"
Liam Greentree,F,74,207,01/01/2006,OHL,64,36,54,90,2023,,Liam,Greentree,,,"[""Liam"",""Greentree"",""F"",""OHL"",None,74,207,18.71,64,36,90,1.41,2024]"
Tristan Broz,F,72,205,10/10/2002,NCAA,43,16,24,40,2023,,Tristan,Broz,,,"[""Tristan"",""Broz"",""F"",""NCAA"",None,72,205,21.93,43,16,40,0.93,2024]"
Noah Ostlund,F,71,163,03/11/2004,SHL,38,12,11,23,2023,,Noah,Ostlund,,,"[""Noah"",""Ostlund"",""F"",""SHL"",None,71,163,20.51,38,12,23,0.61,2024]"
Shane Wright,F,72,192,01/05/2004,AHL,59,22,25,47,2023,,Shane,Wright,,,"[""Shane"",""Wright"",""F"",""AHL"",None,72,192,20.69,59,22,47,0.8,2024]"
Cameron Berg,F,72,192,01/29/2002,NCAA,40,20,17,37,2023,,Cameron,Berg,,,"[""Cameron"",""Berg"",""F"",""NCAA"",None,72,192,22.63,40,20,37,0.93,2024]"
Artyom Levshunov,D,74,208,10/28/2005,NCAA,38,9,26,35,2023,,Artyom,Levshunov,,,"[""Artyom"",""Levshunov"",""D"",""NCAA"",None,74,208,18.88,38,9,35,0.92,2024]"
Mathieu Cataford,F,71,191,03/01/2005,QMJHL,65,40,50,90,2023,,Mathieu,Cataford,,,"[""Mathieu"",""Cataford"",""F"",""QMJHL"",None,71,191,19.54,65,40,90,1.38,2024]"
Nate Danielson,F,74,185,09/27/2004,WHL,28,12,29,41,2023,,Nate,Danielson,,,"[""Nate"",""Danielson"",""F"",""WHL"",None,74,185,19.97,28,12,41,1.46,2024]"
Jiri Kulich,F,73,190,04/14/2004,AHL,57,27,18,45,2023,,Jiri,Kulich,,,"[""Jiri"",""Kulich"",""F"",""AHL"",None,73,190,20.42,57,27,45,0.79,2024]"
Hunter Brzustewicz,D,72,190,11/29/2004,OHL,67,13,79,92,2023,,Hunter,Brzustewicz,,,"[""Hunter"",""Brzustewicz"",""D"",""OHL"",None,72,190,19.79,67,13,92,1.37,2024]"
Ryan Conmy,F,70,188,10/23/2004,NCAA,34,14,17,31,2023,,Ryan,Conmy,,,"[""Ryan"",""Conmy"",""F"",""NCAA"",None,70,188,19.89,34,14,31,0.91,2024]"
Joshua Roy,F,72,192,08/06/2003,AHL,41,13,19,32,2023,,Joshua,Roy,,,"[""Joshua"",""Roy"",""F"",""AHL"",None,72,192,21.11,41,13,32,0.78,2024]"
Denton Mateychuk,D,71,185,07/12/2004,WHL,52,17,58,75,2023,,Denton,Mateychuk,,,"[""Denton"",""Mateychuk"",""D"",""WHL"",None,71,185,20.18,52,17,75,1.44,2024]"
Nick Lardis,F,71,165,07/08/2005,OHL,37,29,21,50,2023,,Nick,Lardis,,,"[""Nick"",""Lardis"",""F"",""OHL"",None,71,165,19.19,37,29,50,1.35,2024]"
Cayden Lindstrom,F,75,209,02/03/2006,WHL,32,27,19,46,2023,,Cayden,Lindstrom,,,"[""Cayden"",""Lindstrom"",""F"",""WHL"",None,75,209,18.62,32,27,46,1.44,2024]"
Ryan Greene,F,73,174,10/21/2003,NCAA,40,12,24,36,2023,,Ryan,Greene,,,"[""Ryan"",""Greene"",""F"",""NCAA"",None,73,174,20.9,40,12,36,0.9,2024]"
Sam Lipkin,F,74,192,01/03/2003,NCAA,39,15,20,35,2023,,Sam,Lipkin,,,"[""Sam"",""Lipkin"",""F"",""NCAA"",None,74,192,21.7,39,15,35,0.9,2024]"
Trevor Connelly,F,72,156,02/28/2006,USHL,52,31,47,78,2023,,Trevor,Connelly,,,"[""Trevor"",""Connelly"",""F"",""USHL"",None,72,156,18.54,52,31,78,1.5,2024]"
Chaz Lucius,F,74,177,05/02/2003,AHL,17,2,11,13,2023,,Chaz,Lucius,,,"[""Chaz"",""Lucius"",""F"",""AHL"",None,74,177,21.37,17,2,13,0.76,2024]"
Ben Hemmerling,F,71,174,04/21/2004,WHL,65,30,61,91,2023,,Ben,Hemmerling,,,"[""Ben"",""Hemmerling"",""F"",""WHL"",None,71,174,20.4,65,30,91,1.4,2024]"
Vsevolod Komarov,D,74,182,01/11/2004,QMJHL,38,11,39,50,2023,,Vsevolod,Komarov,,,"[""Vsevolod"",""Komarov"",""D"",""QMJHL"",None,74,182,20.68,38,11,50,1.32,2024]"
Jimmy Snuggerud,F,73,186,06/01/2004,NCAA,39,21,13,34,2023,,Jimmy,Snuggerud,,,"[""Jimmy"",""Snuggerud"",""F"",""NCAA"",None,73,186,20.29,39,21,34,0.87,2024]"
Ayrton Martino,F,71,160,09/28/2002,NCAA,31,9,18,27,2023,,Ayrton,Martino,,,"[""Ayrton"",""Martino"",""F"",""NCAA"",None,71,160,21.96,31,9,27,0.87,2024]"
Luca Cagnoni,D,69,180,12/21/2004,WHL,65,18,72,90,2023,,Luca,Cagnoni,,,"[""Luca"",""Cagnoni"",""D"",""WHL"",None,69,180,19.73,65,18,90,1.38,2024]"
Isak Rosen,F,72,173,03/15/2003,AHL,67,20,30,50,2023,,Isak,Rosen,,,"[""Isak"",""Rosen"",""F"",""AHL"",None,72,173,21.5,67,20,50,0.75,2024]"
Josh Doan,F,74,198,02/01/2002,AHL,62,26,20,46,2023,,Josh,Doan,,,"[""Josh"",""Doan"",""F"",""AHL"",None,74,198,22.62,62,26,46,0.74,2024]"
Cameron Lund,F,73,185,06/07/2004,NCAA,35,11,19,30,2023,,Cameron,Lund,,,"[""Cameron"",""Lund"",""F"",""NCAA"",None,73,185,20.27,35,11,30,0.86,2024]"
Konsta Helenius,F,71,180,05/11/2006,Liiga,51,14,22,36,2023,,Konsta,Helenius,,,"[""Konsta"",""Helenius"",""F"",""Liiga"",None,71,180,18.34,51,14,36,0.71,2024]"
Brennan Othmann,F,72,192,01/05/2003,AHL,67,21,28,49,2023,,Brennan,Othmann,,,"[""Brennan"",""Othmann"",""F"",""AHL"",None,72,192,21.69,67,21,49,0.73,2024]"
Oliver Moore,F,71,188,01/22/2005,NCAA,39,9,24,33,2023,,Oliver,Moore,,,"[""Oliver"",""Moore"",""F"",""NCAA"",None,71,188,19.65,39,9,33,0.85,2024]"
Andrew Basha,F,71,174,11/08/2005,WHL,63,30,55,85,2023,,Andrew,Basha,,,"[""Andrew"",""Basha"",""F"",""WHL"",None,71,174,18.85,63,30,85,1.35,2024]"
Zachary L'Heureux,F,71,197,05/15/2003,AHL,66,19,29,48,2023,,Zachary,L'Heureux,,,"[""Zachary"",""L'Heureux"",""F"",""AHL"",None,71,197,21.33,66,19,48,0.73,2024]"
Koehn Ziemmer,F,72,202,12/08/2004,WHL,23,11,20,31,2023,,Koehn,Ziemmer,,,"[""Koehn"",""Ziemmer"",""F"",""WHL"",None,72,202,19.77,23,11,31,1.35,2024]"
Aatu Raty,F,74,190,11/14/2002,AHL,72,18,34,52,2023,,Aatu,Raty,,,"[""Aatu"",""Raty"",""F"",""AHL"",None,74,190,21.84,72,18,52,0.72,2024]"
Shai Buium,D,75,209,03/26/2003,NCAA,43,7,29,36,2023,,Shai,Buium,,,"[""Shai"",""Buium"",""D"",""NCAA"",None,75,209,21.47,43,7,36,0.84,2024]"
Mac Swanson,F,68,167,01/10/2006,USHL,55,26,51,77,2023,,Mac,Swanson,,,"[""Mac"",""Swanson"",""F"",""USHL"",None,68,167,18.68,55,26,77,1.4,2024]"
Yegor Sidorov,F,72,184,06/18/2004,WHL,66,50,38,88,2023,,Yegor,Sidorov,,,"[""Yegor"",""Sidorov"",""F"",""WHL"",None,72,184,20.24,66,50,88,1.33,2024]"
Cooper Flinton,F,73,202,08/16/2003,NCAA,30,15,10,25,2023,,Cooper,Flinton,,,"[""Cooper"",""Flinton"",""F"",""NCAA"",None,73,202,21.08,30,15,25,0.83,2024]"
Michael Hage,F,73,187,04/14/2006,USHL,54,33,42,75,2023,,Michael,Hage,,,"[""Michael"",""Hage"",""F"",""USHL"",None,73,187,18.42,54,33,75,1.39,2024]"
Matvei Gridin,F,73,182,03/01/2006,USHL,60,38,45,83,2023,,Matvei,Gridin,,,"[""Matvei"",""Gridin"",""F"",""USHL"",None,73,182,18.54,60,38,83,1.38,2024]"
Tij Iginla,F,72,182,08/04/2006,WHL,64,47,37,84,2023,,Tij,Iginla,,,"[""Tij"",""Iginla"",""F"",""WHL"",None,72,182,18.11,64,47,84,1.31,2024]"
Dmitri Buchelnikov,F,70,163,09/06/2003,KHL,55,13,16,29,2023,,Dmitri,Buchelnikov,,,"[""Dmitri"",""Buchelnikov"",""F"",""KHL"",None,70,163,21.03,55,13,29,0.53,2024]"
Alexandre Blais,F,70,175,11/14/2005,QMJHL,68,24,60,84,2023,,Alexandre,Blais,,,"[""Alexandre"",""Blais"",""F"",""QMJHL"",None,70,175,18.84,68,24,84,1.24,2024]"
Juraj Pekarcik,F,73,183,09/12/2005,USHL,43,9,50,59,2023,,Juraj,Pekarcik,,,"[""Juraj"",""Pekarcik"",""F"",""USHL"",None,73,183,19.01,43,9,59,1.37,2024]"
Luke Misa,F,70,170,11/25/2005,OHL,66,26,55,81,2023,,Luke,Misa,,,"[""Luke"",""Misa"",""F"",""OHL"",None,70,170,18.81,66,26,81,1.23,2024]"
Lenni Hameenaho,F,72,173,11/07/2004,Liiga,46,14,17,31,2023,,Lenni,Hameenaho,,,"[""Lenni"",""Hameenaho"",""F"",""Liiga"",None,72,173,19.86,46,14,31,0.67,2024]"
Julian Lutz,F,73,185,02/29/2004,USHL,50,24,44,68,2023,,Julian,Lutz,,,"[""Julian"",""Lutz"",""F"",""USHL"",None,73,185,20.54,50,24,68,1.36,2024]"
Xavier Simoneau,F,67,178,05/19/2001,AHL,53,9,28,37,2023,,Xavier,Simoneau,,,"[""Xavier"",""Simoneau"",""F"",""AHL"",None,67,178,23.32,53,9,37,0.7,2024]"
Scott Morrow,D,74,210,11/01/2002,NCAA,37,6,24,30,2023,,Scott,Morrow,,,"[""Scott"",""Morrow"",""D"",""NCAA"",None,74,210,21.87,37,6,30,0.81,2024]"
Oliver Kapanen,F,74,194,07/29/2003,Liiga,51,14,20,34,2023,,Oliver,Kapanen,,,"[""Oliver"",""Kapanen"",""F"",""Liiga"",None,74,194,21.13,51,14,34,0.67,2024]"
Viljami Marjala,F,72,178,01/29/2003,Liiga,60,17,23,40,2023,,Viljami,Marjala,,,"[""Viljami"",""Marjala"",""F"",""Liiga"",None,72,178,21.63,60,17,40,0.67,2024]"
Luca Pinelli,F,69,165,04/05/2005,OHL,68,48,34,82,2023,,Luca,Pinelli,,,"[""Luca"",""Pinelli"",""F"",""OHL"",None,69,165,19.44,68,48,82,1.21,2024]"
Marek Vanacker,F,73,174,04/12/2006,OHL,68,36,46,82,2023,,Marek,Vanacker,,,"[""Marek"",""Vanacker"",""F"",""OHL"",None,73,174,18.43,68,36,82,1.21,2024]"
Rodwin Dionicio,D,74,196,03/30/2004,OHL,44,20,33,53,2023,,Rodwin,Dionicio,,,"[""Rodwin"",""Dionicio"",""D"",""OHL"",None,74,196,20.46,44,20,53,1.2,2024]"
Justin Poirier,F,67,185,09/04/2006,QMJHL,68,51,31,82,2023,,Justin,Poirier,,,"[""Justin"",""Poirier"",""F"",""QMJHL"",None,67,185,18.03,68,51,82,1.21,2024]"
Matthew Wood,F,77,205,02/06/2005,NCAA,35,16,12,28,2023,,Matthew,Wood,,,"[""Matthew"",""Wood"",""F"",""NCAA"",None,77,205,19.61,35,16,28,0.8,2024]"
Fedor Svechkov,F,72,187,04/05/2003,AHL,57,16,23,39,2023,,Fedor,Svechkov,,,"[""Fedor"",""Svechkov"",""F"",""AHL"",None,72,187,21.44,57,16,39,0.68,2024]"
Josh Bloom,F,74,182,06/08/2003,OHL,34,17,23,40,2023,,Josh,Bloom,,,"[""Josh"",""Bloom"",""F"",""OHL"",None,74,182,21.27,34,17,40,1.18,2024]"
Joel Nystrom,D,71,170,05/14/2002,SHL,51,8,18,26,2023,,Joel,Nystrom,,,"[""Joel"",""Nystrom"",""D"",""SHL"",None,71,170,22.34,51,8,26,0.51,2024]"
Nikita Chibrikov,F,70,170,02/16/2003,AHL,70,17,30,47,2023,,Nikita,Chibrikov,,,"[""Nikita"",""Chibrikov"",""F"",""AHL"",None,70,170,21.58,70,17,47,0.67,2024]"
Jacob Julien,F,76,181,09/12/2004,OHL,67,29,49,78,2023,,Jacob,Julien,,,"[""Jacob"",""Julien"",""F"",""OHL"",None,76,181,20.01,67,29,78,1.16,2024]"
Colby Barlow,F,72,190,02/14/2005,OHL,50,40,18,58,2023,,Colby,Barlow,,,"[""Colby"",""Barlow"",""F"",""OHL"",None,72,190,19.59,50,40,58,1.16,2024]"
Patrick Thomas,F,72,172,08/21/2004,OHL,57,21,45,66,2023,,Patrick,Thomas,,,"[""Patrick"",""Thomas"",""F"",""OHL"",None,72,172,20.07,57,21,66,1.16,2024]"
Filip Mesar,F,70,184,01/03/2004,OHL,45,19,33,52,2023,,Filip,Mesar,,,"[""Filip"",""Mesar"",""F"",""OHL"",None,70,184,20.7,45,19,52,1.16,2024]"
Miko Matikka,F,75,187,10/26/2003,NCAA,43,20,13,33,2023,,Miko,Matikka,,,"[""Miko"",""Matikka"",""F"",""NCAA"",None,75,187,20.89,43,20,33,0.77,2024]"
Paul Ludwinski,F,71,172,04/23/2004,OHL,60,23,46,69,2023,,Paul,Ludwinski,,,"[""Paul"",""Ludwinski"",""F"",""OHL"",None,71,172,20.39,60,23,69,1.15,2024]"
Danny Nelson,F,75,202,08/03/2005,NCAA,30,9,14,23,2023,,Danny,Nelson,,,"[""Danny"",""Nelson"",""F"",""NCAA"",None,75,202,19.12,30,9,23,0.77,2024]"
Matyas Sapovaliv,F,76,203,02/12/2004,OHL,54,19,43,62,2023,,Matyas,Sapovaliv,,,"[""Matyas"",""Sapovaliv"",""F"",""OHL"",None,76,203,20.59,54,19,62,1.15,2024]"
Logan Mailloux,D,75,213,04/15/2003,AHL,72,14,33,47,2023,,Logan,Mailloux,,,"[""Logan"",""Mailloux"",""D"",""AHL"",None,75,213,21.42,72,14,47,0.65,2024]"
Ryan Healey,D,72,172,05/19/2004,NCAA,29,9,13,22,2023,,Ryan,Healey,,,"[""Ryan"",""Healey"",""D"",""NCAA"",None,72,172,20.32,29,9,22,0.76,2024]"
Sutter Muzzatti,F,80,226,06/28/2003,NCAA,33,10,15,25,2023,,Sutter,Muzzatti,,,"[""Sutter"",""Muzzatti"",""F"",""NCAA"",None,80,226,21.21,33,10,25,0.76,2024]"
Ivan Vorobyov,F,71,156,03/11/2002,KHL,33,11,5,16,2023,,Ivan,Vorobyov,,,"[""Ivan"",""Vorobyov"",""F"",""KHL"",None,71,156,22.51,33,11,16,0.48,2024]"
Erik Påhlsson,F,73,179,04/09/2004,USHL,57,28,44,72,2023,,Erik,Påhlsson,,,"[""Erik"",""Påhlsson"",""F"",""USHL"",None,73,179,20.43,57,28,72,1.26,2024]"
